measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,0,,,,,,,,,,,,,,,,,,,,,
1,2,0.5,,,,,,,,,,,,,,,,,,,,,
1,3,1,,,,,,,,,,,,,,,,,,,,,
1,4,1.5,,,,,,,,,,,,,,,,,,,,,
1,5,2,,,,,,,,,,,,,,,,,,,,,
1,6,2.5,,,,,,,,,,,,,,,,,,,,,
1,7,3,,,,,,,,,,,,,,,,,,,,,
1,8,3.5,,,,,,,,,,,,,,,,,,,,,
2,1,4,,,,,,,,,,,,,,,,,,,,,
2,2,4.5,,,,,,,,,,,,,,,,,,,,,
2,3,5,,,,,,,,,,,,,,,,,,,,,
2,4,5.5,,,,,,,,,,,,,,,,,,,,,
2,5,6,,,,,,,,,,,,,,,,,,1,,,
2,6,6.5,,,,,,,,,,,,,,,,,,,,,
2,7,7,,,,,,,,,,,,,,,,,,,,,
2,8,7.5,,,,,,,,,,,,,,,,,,,,,
3,1,8,,,,,,,,,,,,,,,,,,,,,
3,2,8.375,,,,,,,,,,,,,,,,,,,,,
3,3,8.75,,,,,,,,,,,,,,,,,1,,,,
3,4,9.125,,,,,,,,,,,,,,,,,,,,,
3,5,9.5,,,,,,,,,,,,,,,,,,,,,
3,6,9.875,,,1,1,,1,1,2,1,,,,,,,,,,,,
3,7,10.25,,1,,,,,,,,,,,,,,,,,,1,
3,8,10.625,,,,,,,,,,,,,,,,,,,,,
4,1,11,,,,,,,,,,,,,,,,,,,,,
4,2,11.5,,,,,,,,,,,,,,,,,,,,,
4,3,12,,,,,,,,,,,,,,,,,,,,,
4,4,12.5,,,,,,,,,,,,,,,,,,,,,
4,5,13,,,,,,,,,,,,,,,,,,1,,,
4,6,13.5,,,,,,,1,,,,,,,,,,,,,,
4,7,14,,,,,,,,,,,,,,,,,,,,,
4,8,14.5,,,,,,,,,,,,,,,,,,,,,
5,1,15,,,,,,,,,,,,,,,,,,,,,
5,2,15.375,,,,,,,,,,,,,,,,,,,,,
5,3,15.75,,,,,,,,,,,,,,,,,,,,,
