measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,0,,,,,,,,,,,,,,,,,,,,
1,2,1.25,,,,,,,,,,,,,,,,,,,,
1,3,2.5,,,,,,,,,,,,,,,,,,,,
1,4,3.75,,,,,,,,,,,,,,,,,,,,
2,1,5,,,,,,,,,,,,,,,,,,,,
2,2,6.25,,,,,,,,,,,,,,,,,,,,
2,3,7.5,1,,,1,,,,1,,,,,,,,,,,,
2,4,8.75,,,,,,,,,,,,,,,,,,,,
3,1,10,,,,,,,,,,,,,,,,,,,,
3,2,11.25,,,,1,,,,,,,,,,,,,,,1,
3,3,12.5,,,,,,,,,,,,,,,,,,,,
3,4,13.75,,1,,1,,1,1,1,,,,,,,,1,,,,
4,1,15,,,,,,,,,,1,,,,,,,,,,
4,2,16.25,1,,,,,,,,,,,,,,,,,,,
4,3,17.5,,,,1,,,,,,,,,,,,,,,,
4,4,18.75,,,,,,,,,,,,,,,,,,,,
5,1,20,,,,1,,,,,,,,,,,,,,,,
5,2,21.25,,,,,,,,,,,,,,,,,,,,
5,3,22.5,,,,,,,,,,,,,,,,,,,1,1
5,4,23.75,3,1,3,1,2,1,1,2,1,1,,2,1,1,,2,2,1,,
6,1,25,,,,,,,,,,,1,,,,,,,,,
6,2,26.25,,,,,,,,,,,,,,,,,,,,
6,3,27.5,,,,,,,,,,,,,,,,,,,,
6,4,28.75,,,,,,,,,,,,,,,,,,,,
7,1,30,,,,,,,,,,,,,,,,,,,,
7,2,31.25,,,,,,,,,,,,,,,,,,,,
7,3,32.5,,,,,,,,1,,1,,,,,,,,,1,
7,4,33.75,2,,1,,1,2,2,,,,,2,2,1,1,2,1,1,,
8,1,35,,1,,2,,,,,,,,,,,,,,,,
8,2,36.25,,1,,,,,,,1,,,,,,,,,,,
8,3,37.5,,,,,,,,,,,,,,,,,,,,
8,4,38.75,,,,,,,,,,,,,,,,,,,,
9,1,40,,,,,,,,,,,,,,,,,,,,
9,2,41.25,,,,,,,,,,,,,,,,,,,,
9,3,42.5,,,,,,,,,,,,,,,1,,,,2,
9,4,43.75,1,,,3,,1,1,2,1,,,,,1,,1.5,2,,,
10,1,45,,,,,,,,,,,1,,,,,,,,,
10,2,46.25,,,,,,,,,,,,,,,,,,,,
10,3,47.5,,,,,,,,,,,,,2,,2.5,,,,1,2
10,4,48.75,,,,,,,,,,,,1.5,,2.5,,3,1,2,,
11,1,50,,,,,,,,,,,,,,,,,,,,
11,2,51.25,,1,,,,,,,,,,,,,,,,,,
11,3,52.5,3,,2,3,1,2,3,2,,2,,,,,,,,,,
11,4,53.75,,,,,,,,,1,,,,,,,,,,,
12,1,55,,,,,,,,,,,,,,,,,,,,
12,2,56,,,,,,,,,,,,,,,,,,,,
12,3,57,,,,,,,,,,,,,,,,,,,,
12,4,58,,,,,,,,,,,,,,,,,,,,
13,1,59,,,,2,,1,,,,,,,,1,,,,,1,
13,2,60,,,,,,,,,,,,,,,,,,,,
13,3,61,,,,,,,1,,,,,,,,,,,,,
13,4,62,,,,,,,,,,,,,,,,,1,,,
