,Unnamed: 0,index,timestamp,work,algorithm,weight
948,948,0,23,3,reference,1
949,949,1,39,3,reference,2
950,950,2,47,3,reference,0
951,951,3,54,3,reference,1
952,952,4,67,3,reference,2
953,953,5,82,3,reference,1
954,954,6,95,3,reference,2
955,955,7,119,3,reference,1
956,956,8,130,3,reference,0
957,957,9,149,3,reference,2
958,958,10,181,3,reference,2
959,959,11,194,3,reference,0
960,960,12,213,3,reference,2
961,961,13,247,3,reference,2
962,962,14,266,3,reference,4
