measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
3,1,1,,,,,,,,,,,,,,,,,,,,,,
3,2,1.5,,,,,,,,,,,,,,,,,,,,,,
3,3,2,,,,,,,,,,,,,,,,,,,,,,
3,4,2.5,,,,,,,,,,,,,,,,,,,,,,
3,5,3,,,,,,,,,,,,,,,,,,,,,,
3,6,3.5,,,,,,,,,,,,,,,,,,,,,,
3,7,4,,,,,,,,,,,,,,,,,,,,,,
3,8,4.5,,,,,,,,,,,,,,,,,,,,,,
4,1,5,,,,,,,,,,,,,,,,,,,,,,
4,2,5.375,,,,,,,,,,,,,,,,,,,,,,
4,3,5.75,2,1,2,2,1,2,1,1,,1,1,,,2,1,1,1,1,1,1,1,
4,4,6.125,,,,,,,,,1,,,,,,,,,,,,,
4,5,6.5,,,,,,,,,,,,,,,,,,,,,,
4,6,6.875,,,,,,,,,,,,,,,,,,,,,,
4,7,7.25,,,,,,,,,,,,,,,,,,,,,,
4,8,7.625,,,,,,,,,,,,,,,,,,,,,,
5,1,8,,,,,,,,,,,,,,,,,,,,,,
5,2,8.5,,,,,,,,,,,,,,,,,,,,,,
5,3,9,,,,,,,,,,,,,,,,,,,,,,
5,4,9.5,1,,1,1,,,1,1,,,,,,,,2,,,,,,
5,5,10,,,,,,1,,,1,,,,,,,,,,,,1,
5,6,10.5,,,,,,,,,,,,,,,,,,,,,,
5,7,11,,,,,,,,,,,,,,,,,,,,,,
5,8,11.5,,,,,,,,,,,,,,,,,,,,,,
6,1,12,,,1,,,,,,,,,,,,,,,,,,,
6,2,12.5,,1,,1,,,,,,,1,,,,,,,,,,,
6,3,13,,,,,,,,,,,,,,,,,,,,,,
6,4,13.5,,,,,,,,,,,,,,,,,,,,,,
6,5,14,,,,,,,,,,,,,,,,,,,,,,
6,6,14.5,,,,,,,,,,,,,,,,,,,,,,
6,7,15,,,,,,,,,,,,,,,,,,,,,,
6,8,15.5,,,,,,,,,,,,,,,,,,,,,,
7,1,16,,,,,,,,,,,,,,,,,,,,,,
7,2,16.5,,,,,,,,,,,,,,,,3,,3,,,1,
7,3,17,4,1,3,2,3,2.5,2,2,2,1,1,,,3,2,,1,,2.5,3,,
7,4,17.5,,,,,,,,,,,,1,,,,,,,,,,
7,5,18,,,,,,,,,,,,,,,,,,,,,,
7,6,18.5,,,,,,,,,,,,,,,,,,,,,,
7,7,19,,,,,,,,,,,,,,,,,,,,,,
7,8,19.5,,,,,,,,,,,,,,,,,,,,,,
8,1,20,,,,,,,,,,,,,,,,,,,,,,
8,2,20.5,,,,,,,,,,,,,,,,,,,,,,
8,3,21,,,,,,,,,,,,,,,,2,,,,,,
8,4,21.5,,,,,,,,,,,,,,,,,,,,,,
8,5,22,,,,,,,1,,1,,,,,,,,,,,,,1
8,6,22.5,,,,,,,,1,,,,,,,,,,,1,,,
8,7,23,1,,1,1,,,,,,,1,,,,,,,,,,,
8,8,23.5,,,,,,,,,,,,,,,,,,,,,,
9,1,24,,,,,,,,,,,,,,,,,,,,,,
9,2,24.5,,,,,,,,,,,,,,,,,,,,,,
9,3,25,,,,,,,,,,,,,,,,,,,,,,
9,4,25.5,,,,,,,,,,,,,,,,,,,,,,
9,5,26,,,,,,,,,,,,,,,,,,,,,,
9,6,26.5,,,,,,,,,,,,,,,,,,,,,,
9,7,27,,,,,,,,,,,,,,,,,,,,,,
9,8,27.5,,,,,,,,,,,,,,,,,,,,,,
10,1,28,,,,,1,,,,,,,,,,,,,,,,,
10,2,28.5,,,,,,,,,,,,,,,,,,,,,,
10,3,29,,,,,,,,,,,,,,,,,,,,,,
10,4,29.5,,,,,,,,,,,,,,,,,,,,,,
10,5,30,,,,,,,,,,,,,,,,,,,,,,
10,6,30.5,,,,,,,,,,,,,,,,,,,,,,
10,7,31,,,,,,,,,,,,,,,,,,,,,,
10,8,31.5,,,,,,,,,,,,,,,,,,,,,,
11,1,32,,,,,,,,,,,,,,,,,,,,,,
11,2,32.375,,,,1,,,,,1,,,,,,,,,,,2,,
11,3,32.75,,,,,,,,,,,,,,,,,,,,,,
11,4,33.125,,2,,,,,,,,,,,,,,,,,,,,
11,5,33.5,,,,,,,,,,,,,,,,,,,,,,
11,6,33.875,,,,,,,1,,,,,,,,,1,,,,,,
11,7,34.25,,,,,,,,,,,,,,,,,,,,,,
11,8,34.625,,,,,,,,,,,,,,,,,,,,,,
12,1,35,,,,,,,,,,,,,,,,,,,,,,
12,2,35.5,,,,,,,,,,,,,3,,,,,,,,,
12,3,36,,,,,,,,,,,,,,,,,,,,,,
12,4,36.5,,,,,,,,3,,,,,,,,,,,,,,
12,5,37,,,,,,,,,,,,,,,,,,,,,,
12,6,37.5,,,,,,,,,,,,,,,,,,,,,,
12,7,38,,,,,,,,,,,,,,,,,,,,,,
12,8,38.5,,,,,,,,,,,,,,,,,,,,,,
13,1,39,,,,,,,,,,,,,,,,,,,,,2.5,
13,2,39.625,,,,,,,,,4,,,,,,,,,3,,,,
13,3,40.25,4,3,3,4,4,3,3,,,3,2,2,,4,2,3,1,,2.5,2,,2
13,4,40.875,,,,,,,,,,,,,,,,,,,,,,
13,5,41.5,,,,,,,,,,,,,,,,,,,,,,
13,6,42.125,,,,,,,,,,,,,,,,,,,,,,
13,7,42.75,,,,,,,,,,,,,,,,,,,,,,
13,8,43.375,,,,,,,,,,,,,,,,,,,,,,
14,1,44,,,,,,,,,1,,,,,,,,,,,,,
14,2,44.375,,,,,,,,,,,,,,,,,,,,,,
14,3,44.75,,,,,,,,,,,,,,,,,,,,,,
14,4,45.125,,,,,,,,,,,,,,,,,,,,,,
14,5,45.5,,,,,,,,,,,,,,,,,,,,,,
14,6,45.875,,,,,,,,,,,,,,,,,,,,,,
14,7,46.25,,,,,,,,,,,,,,,,,,,,,,
14,8,46.625,,,,,,,,,,,,,,,,,,,,,,
15,1,47,2,,,4,1,2,1,1,1,,,,,,,,,,1,,,
15,2,47.5625,,,,,,,,,,,,,,,,,,,,,,
15,3,48.125,,,,,,,,,,,,,,,,1,,,,,,
15,4,48.6875,,,,,,,,,,,,,,,,,,,,,,
15,5,49.25,,,,,,,,,,,,,,,,,,,,,,
15,6,49.8125,,,,,,,,,1,,,,,,,,,,,3,,
15,7,50.375,,,,,,,,,,,,,,,,,,,,,,
15,8,50.9375,,,,,,,,,,,,,,,,,,,,,,
16,1,51.5,,,,,,,,,,,,,,,,,,,,,,
16,2,52.0625,,,,,,,,,,,,,,,,,,,,,,
16,3,52.625,,,,,,,1,,,,,,,,,,,,,,,
16,4,53.1875,,,,,,,,,,,,,,,,,,,,,,
16,5,53.75,,,1,,,,,1,1,,,,,1,,,,,,,,
16,6,54.3125,,,,,,,,,,,,,,,,,,,,,,
16,7,54.875,,,,,,,,,,,,,,,,,,,,,,
16,8,55.4375,,,,,,,,,,,,,,,,,,,,,,
17,1,56,,,,,,,,,,,,,,,,,,,,,,
17,2,56.625,,,,,,,,,,,,,,,,,,,,,,
17,3,57.25,,,,,,,,,,,,,,,,,,,,,,
17,4,57.875,,,,,,,,,,,,,,,,,,,,,,
17,5,58.5,,,,,,2,,,,,,,,,,,,,,,1,
17,6,59.125,4,2,2,2,4,,3,2,2,3,1,2,,,,2,1,3,1,2,,
17,7,59.75,,,,,,,,,,,,,,,,,,,,,,1
17,8,60.375,,,,,,,,,,,,,,,,,,,,,,
18,1,61,,,,,,,,,,,,,,,,,,,,,,
18,2,61.5,,,,,,,,,,,,,,,,,,,,,,
18,3,62,,,,,,,,,,,,,3,,,,,,,,,
18,4,62.5,,,,,,,,,,,,,,,,,,,,,,
18,5,63,,,,,,,,,,,,,,,,,,,,,,
18,6,63.5,,,,,,,,,,,,,,,,,,,,,,
18,7,64,,,,,,,,,,,,,,,,,,,,,,
18,8,64.5,,,,,,,,,,,,,,,,,,,,,,
19,1,65,,,,,,,,,,,,,,,,,,,,1.5,,
19,2,65.625,,,,,,,,,,,,,,,,,,,,,1.5,
19,3,66.25,,,,,,,,,,,,,,,,,,,,,,
19,4,66.875,,,,,,,,,,,,,,,,,,,,,,
19,5,67.5,3,3,3,3,2,2.5,1,2,1,1,1,1,,3,1,2,1,2,1,,,2
19,6,68.125,,,,,,,,,,,,,,,,,,,,,,
19,7,68.75,,,,,,,,,,,,,,,,,,,,,,
19,8,69.375,,,,,,,,,,,,,,,,,,,,,,
20,1,70,,,,,,,,,,,,,,,,,,,,,,
20,2,70.5,,,,,,,,,,,,,,,,,,,,,,
20,3,71,,,,,,,,,1,,,,,,,1,,,,,,
20,4,71.5,,,,,,,,,,,,,,,,,,,,,,
20,5,72,,,,,,,,,,,,,,,,,,,,,,
20,6,72.5,,,,,,,,,,,,,,,,,,,,,,
20,7,73,,,,,,,,,,,,,1,,,,,,,,,
20,8,73.5,,,,,,,,,,,,,,,,,,,,,,
21,1,74,,,,,,,,,,,,,,,,,,,1,,,
21,2,74.5,2,,2,,,1,1,1,,,,,,,,,,,,,,
21,3,75,,,,,,,,,,,,,,,,,,,,,,
21,4,75.5,,,,,,,,,,,,,,,,,,,,,,
21,5,76,,,,,,,,,,,,,,,,,,,,,,
21,6,76.5,,,,,,,,,,,,,,,,,,,,,,
21,7,77,,,,,,,,,,,,,,,,,,,,,,
21,8,77.5,,,,,,,,,,,,,,,,,,,,,,
22,1,78,,1,,,,,,,,,,,,,,,,,,,,
22,2,78.5,,,,,,,,,1,,,,,,,,,,,,,
22,3,79,,,,,,,1,,,,,,,,,,,,,,,
22,4,79.5,,,,,,,,,,,,,,,,,,,,,,
22,5,80,,1,,,,,,,,,,,,,,,,,,,,
22,6,80.5,,,,,,,,,,,,,,,,,,,,,,
22,7,81,,,,,,,,,,,,,,,,,,,,,,
22,8,81.5,,,,,,,,,,,,,,,,,,,,,,
23,1,82,,,,,,,,,,,,,,,,,,,,,,
23,2,82.625,,,,,,,,,,,,,,,,,,,,,,
23,3,83.25,,,,,,,,,,,,,,,,,,,,,,
23,4,83.875,,,,,,,,,,,,,,,,,,,,,,
23,5,84.5,,,,,,,,,,,,,,,,,,,,,,
23,6,85.125,,,,,,,,,,,,,,,,,,,,,,
23,7,85.75,,,,,,,,,,,,,,4,,,,,,,,
23,8,86.375,,,,,,,,,,,,,,,,,,,,,,
24,1,87,,,,,,,,,,,,,,,,,,,,3.5,3,
24,2,87.625,,,,,,,,,,,,,,,,,,3,,,,
24,3,88.25,,,,,,,,,,,,,,,3,,,,,,,
24,4,88.875,,,,,,,,,,,,,,,,3,,,,,,
24,5,89.5,4,4,4,3,3,2,4,3,3,3,3,2,3,,,,2,,3,,,2
24,6,90.125,,,,,,,,,,,,,,,,,,,,,,
24,7,90.75,,,,,,,,,,,,,,,,,,,,,,
24,8,91.375,,,,,,,,,,,,,,,,,,,,,,
25,1,92,,,,,,,,,,,,,,,,,,,,,,
25,2,92.5,,,,,,,,,,,,,,,,,,,,,,
25,3,93,,,,,,,,,,,,,,,,,,,,,,
25,4,93.5,,,,,,,,,,,,,,,,,,,,,,
25,5,94,,,,,,,,,,,,,,,,,,,,,,
25,6,94.5,,,,,,,,,,,,,,,,,,,,,,
25,7,95,,,,,,,,,,,,,,,,,,,,,,
25,8,95.5,,,,,,,,,,,,,,,,,,,,,,
26,1,96,,1,,,,,,,,,,,,,,,,,,,,
26,2,96.375,,,,,,,,,,,,,,,,,,,,,,
26,3,96.75,,,,,,,,,,,,,,,,,,,,,,
26,4,97.125,,,,,,,,,,,,,,,,,,,,,,
26,5,97.5,,,,,,,,,,,,,,,,,,,,,,
26,6,97.875,,,,,,,,,,,,,,,,,,,,,,
26,7,98.25,,,,,,,,,,,,,,,,,,,,,,
26,8,98.625,,,,,,,,,,,,,,,,,,,,,,
27,1,99,,,1,1,,,,,,,,,,,,,,,,,,
27,2,99.5,,,,,,,,,,,,,,,,,,,,,,
27,3,100,,1,,,,,,,1,,,,,,,,,,1,,,
27,4,100.5,,,,,,,,,,,,,,,,,,,,,,
27,5,101,,,,,,,1,,,,,,,,,,,3,,2,,
27,6,101.5,,,,,,,,,,,,,,,,1,,,,,1,
27,7,102,,,,,,,,3,,,,,,2,,,,,,,,
27,8,102.5,,,,,,,,,,,,,,,1,,,,,,,
28,1,103,4,1,,2,1,3,,,2,1,1,1,,,,,1,,1,,,1
28,2,103.625,,,,,,,,,,,,,,,,,,,,,,
28,3,104.25,,,,,,,,,,,,,,,,,,,,,,
28,4,104.875,,,,,,,,,,,,,,,,,,,,,,
28,5,105.5,,,,,,,,,,,,,,,,,,,,,,
28,6,106.125,,,,,,,,,1,,,,3,,,,,,,,,
28,7,106.75,,,,,,,,,,,,,,,,,,,,,,
28,8,107.375,,,,,,,,,,,,,,,,,,,,,,
29,1,108,,,,,,,,,,,,,,,,,,,,,,
29,2,108.5,,,,,,,,,,,,,,,,,,,,,,
29,3,109,,,,,,,,,,,,,,,,,,,,,,
29,4,109.5,,,,,,,,,,,,,,,,,,,,,,
29,5,110,,,,2,,,,,,,,,,,,,,,,,,
29,6,110.5,,,,,,,,,,,,,,,,,,,,,,
29,7,111,,,,,,,,,,,,,,,,,,,,,,
29,8,111.5,,,,,,,,,,,,,,,,,,,,,,
30,1,112,,,,,,1,,,,,,,,,,,,,,,,
30,2,112.5,,,,,,,1,,1,,,,,2,,,,,,1.5,,
30,3,113,,,,,,,,1,,,,,,,,1,,,,,,
30,4,113.5,,,,,,,,,,,,,,,,,,,,,,
30,5,114,1,2,,,1,,,,,,,,,,,,,,,,,
30,6,114.5,,,,,,,,,,,,,,,,,,,,,,
30,7,115,,,,,,,,,,,,,,,,,,,,,,
30,8,115.5,,,,,,,,,,,,,,,,,,,,,,
31,1,116,,,,,,,,,,,,,,,,,,,,,,
31,2,116.5,,,,,,,,,,,,,,,,,,,,,,
31,3,117,,,1,,,,,,,,,,,,,,,,,,,
31,4,117.5,,,,,,,,,,,,,,,,,,,,,,
31,5,118,,,,,,,,,,,,,,,,,,,,,,
31,6,118.5,,,,,,,,,,,,,,,,,,,,,,
31,7,119,,,,,,,,,,,,,,,,,,,,,,
31,8,119.5,,,,,,,,,,,,,,,,,,,,,,
32,1,120,,,,,,,,,,,,,,3,,,,,,,3,
32,2,120.625,,,,,,,,,,,,,,,,,,,,3,,
32,3,121.25,,,,,,,,,,,,,,,3,,,3,,,,
32,4,121.875,,,,,,,,,,,,,,,,2.5,,,,,,
32,5,122.5,4,4,2.5,4,3,2,4,4,2,4,3,2,,,,,2,,3,,,2
32,6,123.125,,,,,,,,,,,,,3,,,,,,,,,
32,7,123.75,,,,,,,,,,,,,,,,,,,,,,
32,8,124.375,,,,,,,,,,,,,,,,,,,,,,
33,1,125,,,,,,,,,,,,,,,,,,,,,,
33,2,125.5,,,,,,,,,,,,,,,,,,,,,,
33,3,126,,,,,,,,,,,,,,,,,,,,,,
33,4,126.5,,,,,,,,,,,,,,,,,,,,,,
33,5,127,,,,,,,,,,,,,,,,,,,,,,
33,6,127.5,,,,,,,,,1,,,,,,,,,,,,,
33,7,128,,2,1,,,,1,,,,,,,,,,,,,,,
33,8,128.5,,,,,,,,,,,,,,,,,,,,,,
34,1,129,,,,,,,,,,,,,,,,,,,,,,
34,2,129.625,,,,,,,,,,,,,,,,,,,,,,
34,3,130.25,,,,,,,,,,,,,,,,,,,,,,
34,4,130.875,,,,,,,,,,,,,,,,,,,,,,
34,5,131.5,,,,,,,,,,,,,,,,,,,,,,
34,6,132.125,,,,,,,,,,,,,,,,,,,,,,
34,7,132.75,,,,,,,,,,,,,,,,,,,,,,
34,8,133.375,,,,,,,,,,,,,,,,,,,,,,
35,1,134,,,,,,,,,,,,,,,,,,,,2.5,,
35,2,134.5,,,,,,,,,,,,,,,,,,,,,,
35,3,135,,,,,,,,,,,,,,,,,,,,,2,
35,4,135.5,,,,,,,,,,,,,,,,,,,,,,
35,5,136,,,,,,,,,,,,,,2.5,,2,,,,,,
35,6,136.5,,,,2,,,,,2,,,,,,,,,3,,,,
35,7,137,,,,,1,2.5,3,2,,,,,,,2,,,,,,,
35,8,137.5,,3,,,,,,,,,,,,,,,,,2,,,
36,1,138,3,,3,,,,,,,,,,,,,,,,,,,
36,2,138.625,,,,,,,,,,,,,,,,,,,,,,
36,3,139.25,,,,,,,,,,,,,,,,,,,,,,
36,4,139.875,,,,,,,,,,,,,,,,,,,,,,
36,5,140.5,,,,,,,,,,,,,,,,,,,,,,
36,6,141.125,,,,,,,,,,,,,,,,,,,,,,
36,7,141.75,,,,,,,,,,,,,,,,,,,,,,
36,8,142.375,,,,,,,,,,,,,,,,,,,,,,
37,1,143,2,,,2,1,,,,1,,,,,,,,,,,,,
37,2,143.5,,,,,,,,,,,,,,,,1,,,,1,,
37,3,144,,,,,,,,,,,,,,,,,,,,,,
37,4,144.5,,,,,,,,,,,,,,,,,,,,,,
37,5,145,,,,,,,,,,,,,,,,,,,,,,
37,6,145.5,,,,,,,,,,,,,,,,,,,,,,
37,7,146,,,,,,,,,,,,,,,,,,,,,,
37,8,146.5,,,,,,,1,,,,,,,,,,,,,,,
38,1,147,,,,,,,,,,,,,,,,,,,,,,
38,2,147.75,,,,,,,,,,,,,,,,,,,,,,
38,3,148.5,,,,,,,,,,,,,,,,,,,,,,
38,4,149.25,,,,,,,,,,,,,,,,,,,,,,
38,5,150,,,,,,,,,,,,,,,,,,,,,,
38,6,150.75,,,,,,,,,1,,,,,,,,,,,,,
38,7,151.5,,,,,,,,,,,,,,,,,,,,,,
38,8,152.25,,,,,,,,,,,,,,3,,,,,,,,
39,1,153,,,,,,3,,,,,,,,,,,,,,,2.5,
39,2,154.125,,,,,,,,,,,,,,,,,,,,,,
39,3,155.25,,,,,,,,,,,,,,,,,,,,,,
39,4,156.375,,,,,,,,,,,,,,,,,,,,,,
39,5,157.5,,,,,,,,,,,,,,,,,,4,,,,
39,6,158.625,,,,,,,,,,,,,,,,,,,,,,
39,7,159.75,,,,,,,,,4,,,,,,,,,,,4,,
39,8,160.875,,,,,,,,,,,,,,,4,3,4,,4,,,
40,1,162,4,4,4,4,4,,4,4,,4,4,2,3,,,,,,,,,2
40,2,162.5,,,,,,,,,,,,,,,,,,,,,,
40,3,163,,,,,,,,,,,,,,,,,,,,,,
40,4,163.5,,,,,,,,,,,,,,,,,,,,,,
40,5,164,,1,,,,,,,,,,,,,,,,,,,,
40,6,164.5,,,,,,,,,,,,,,,,,,,,,,
40,7,165,,,,,,,,,,,,,,,,,,,,,,
40,8,165.5,,,,,,,,,,,,,,,,,,,,,,
41,1,166,,,,,,,,,,,,,,,,,,,,,,
41,2,166.75,,,,,,,,,,,,,,,,,,,,,,
41,3,167.5,,,,,,,,,1,,,,,,,,,,,,,
41,4,168.25,,,,,,,,,,,,,,,,,,,,,,
41,5,169,,,,,,,,,,,,,,,,,,,,,,
41,6,169.75,,,,,,,,,,,,,,,,,,,,,,
41,7,170.5,,,,,,,,1,,,,,,,,,,,,,,
41,8,171.25,,,,,,,,,,,,,,,,,,,,,,
42,1,172,,,,,,,,,,,,,,,,,,,,,,
42,2,172.625,,,,,,,,,,,,,,,,,,,,,,
42,3,173.25,,,,,,,,,1,,,,,,,,,,,,,
42,4,173.875,,,,,,,,,,,,,,,,,,,,,,
42,5,174.5,,1,,,,,,,1,,,,,,,,,,,,,
42,6,175.125,,,,,,,,,,,,,,,,,,,,,,
42,7,175.75,,,,,,,,,,,,,,,,,,,,,,
42,8,176.375,,,,,,,,,,,,,,,,,,,,,,
43,1,177,,,,,,,,,,,,,,,,,,,,,,
43,2,177.625,,,,,,,,,,,,,,1,,,,,,,,
43,3,178.25,,,,,,,,,,,,,,,,,,,,,2,
43,4,178.875,,,,,,,,,,,,,,,,,,,,,,
43,5,179.5,,,,,,,1,,,,,,,,,,,,,,,
43,6,180.125,,,,,,,,,,,,,,,,,,,,,,
43,7,180.75,,,,,,,,,,,,,,,,,,,,,,
43,8,181.375,,,,,,,,,,,,,,,,,,,,,,
44,1,182,,1,,,1,2,,,1,,,,,,,1,,,,,,
44,2,182.625,,,,,,,,,,,,,,,,,,,,,,
44,3,183.25,,,,,,,,,,,,,,,,,,,,,,
44,4,183.875,,,,,,,,,,,,,,,,,,,,,,
44,5,184.5,,,,,,,,,,,,,,,,,,,,,,
44,6,185.125,,,,,,,,,,,,,,,,,,,,,,
44,7,185.75,,,,,,,,,,,,,,,,,,,,,,
44,8,186.375,,,,,,,,,,,,,,,,,,,,,,
45,1,187,,,,,,,,,,,,,,,,,,,,,,
45,2,187.625,,,,,,,,,2,,,,,,,,,,,,,
45,3,188.25,,,,,,,,,,,,,,,,,,,,,,
45,4,188.875,,,,,,,,,,,,,,,,,,,,,,
45,5,189.5,3,1,,,,,1,,,,,,,,,,,,1,,,
45,6,190.125,,,,,,,,,,,,,,,,,,,,,,
45,7,190.75,,,,,,,,,,,,,,,,,,,,,,
45,8,191.375,,,,,,,,,,,,,,,,,,,,,,
46,1,192,,,,,,,,,,,,,,,,1,,,,,,
46,2,192.625,,,,,,,,,,,,,,,,,,,,,,
46,3,193.25,,,,,,,,,,,,,,,,,,,,,,
46,4,193.875,,,,,,,,,,,,,,,,,,,,,,
