measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,0,,,,,,,,,,,,,,,,,,,,
1,2,0.75,,,,,,,,,,,,,,,,,,,,
1,3,1.5,,,,,,,,,,,,,,,,,,,,
1,4,2.25,,,,,,,,,,,,,,,,,,,,
2,1,3,,,,2,1,2,1,,1,1,,,,,,1,,,1,
2,2,3.75,,,,,,,,,,,,,,,,,,,,
2,3,4.5,,,,,,,,,,,,,,,,,,,,
2,4,5.25,,,,,,,,,,,,,,,,,,,,
3,1,6,,,,,,,,,,,,,,,,,,,,
3,2,6.75,,,,,,,,,,,,,,,,,,,,
3,3,7.5,,,,,,,,,,,,,,,,,,,,
3,4,8.25,,,,,,,,,,,,,,,,,,,,
4,1,9,,,,2,1,2,,1,,1,,,,,,1,,,1,
4,2,10,,,,,,,,,,,,,,,,,,,,
4,3,11,,,,,,,,,,,,,,,,,,,,
4,4,12,,,,,,,,,,,,,,,,,,,,
5,1,13,,,,,,,,,,,,,,,,,,,,
5,2,13.75,,,,,,,,,,,,,,,,,,,,
5,3,14.5,,,,,,,,,,,,,,,,,,,,
5,4,15.25,,,,,,,,,,,,,,,,,,,,
6,1,16,,,,,1,2,,1,,,,,,,,,,,,
6,2,16.75,,,,,,,,,,1,,,,,,,,,,
6,3,17.5,,,,,,,,,,,,,,,,,,,,
6,4,18.25,,,,,,,,,,,,,,,,,,,,
7,1,19,3,3,4,2,3,,2,,1,2,,2,,,,2,,3,2,
7,2,19.5,,,,,,2,,,,,,,,,,,,,,
7,3,20,,,,,,,,,,,3,,,,,,1,,,
7,4,20.5,,,,,,,,,,,,,,,,,,,,
8,1,21,,,,,,,,,,,,,,,,,,,,
8,2,22,,,,,,,,,,,,,,,,,,,,
8,3,23,,,,,,,,,,,,,,,,,,,,
8,4,24,,,,,,,,,,,,,,,,,,,,
9,1,25,2,1,1,2,1,2,2,1,,1,,,,,,1,,,1,
9,2,25.75,,,,,,,,,,,,,,,,,,,,
9,3,26.5,,,,,,,,,,,,,,,,,,,,
9,4,27.25,,,,,,,,,,,,,,,,,,,,
10,1,28,,,,,,,,,,,,,,,,,,,,
10,2,28.75,,,,,,,,,,,,,,,,,,,,
10,3,29.5,,,,,,,,,,,,,,,,,,,,
10,4,30.25,,,,,,,,,,,,,,,,,,,,
11,1,31,,,,,1,,,,,,,,,,,,,,,
11,2,31.75,,,,,,,,,,,,,,,,,,,,
11,3,32.5,,,,,,,,,,1,,,,,,,,,,
