measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
11,4,33.25,,,,3,,,,,,,,,,,,,,,,
12,1,34,1,2,3,,3,,3,2,1,2,,1.5,,,,2,1,3,2,1
12,2,34.75,,,,,,3,,,,,4,,,,,,,,,
12,3,35.5,,,,,,,,,,,,,,,,,,,,
12,4,36.25,,,,,,,,,,,,,,,,,,,,
13,1,37,,,,,,,,,,,,,,,,,,,,
13,2,37.75,,,,,,,,,,,,,,,,,,,,
13,3,38.5,1,1,1,2,1,2,1,1,,1,,1,,,,1,,1,1,
13,4,39.25,,,,,,,,,,,,,,,,,,,,
14,1,40,,,,,,,,,,,,,,,,,,,,
14,2,40.75,,,,,,,,,,,,,,,,,,,,
14,3,41.5,,,,,,,,,,,,,,,,,,,,
14,4,42.25,,,,,,,,,,,,,,,,,,,,
15,1,43,,,,,,,,,,,,,,,,,,,,
15,2,43.75,,,,,,,,,,,,,,,,,,,,
15,3,44.5,,,,,1,,,,,,,,,,,,3,,,
15,4,45.25,,,,,,,,,,,,,,,,,,,,
16,1,46,,,,,,,,,,,,,,,,,,,,
16,2,46.75,,,,,,,,,,,,,,,,,,,,
16,3,47.5,,,,,,,,,,,,,,,,,,,,
16,4,48.25,,,,3,,3,,,,,,,,,,,,,,
17,1,49,,,,,,,,,,,,,,,,,,,,
17,2,50,,,,,,,,,,,,,,,,,,,,
17,3,51,2,2,3,,2,,3,2,1,1.5,,1.5,,,,2,2,2,1,
17,4,52,,,,,,,,,,,3,,,,,,,,,
18,1,53,,,,,,,,,,,,,,,,,,,,
18,2,53.75,,,,,,,,,,,,,,,,,,,,
18,3,54.5,,,,,,,,,,,,,,,,,,,,
18,4,55.25,,,,,,,,,,,,,,,,,,,,
19,1,56,,,,,,,,,,,,,,,,,,,,
19,2,56.75,,,,,,,,,,,,,,,,,,,,
19,3,57.5,,,,3,,,,,,,,,,,,,,,,
19,4,58.25,,,,,,,,,,,,,,,,,,,,
20,1,59,3,1,3,,2,3,3,1,,2,,,,,,,,,1,
20,2,59.75,,,,,,,,,,,,,,,,1,,1,,
20,3,60.5,,,,,,,,,,,,,,,,,2,,,
20,4,61.25,,,,,,,,,,,,,,,,,,,,
21,1,62,,,,,,,,,,,,,,,,,,,,
21,2,63,,,,,,,,,,,,,,,,,,,,
21,3,64,,,,,,,,,,,2,,,,,,,,,
21,4,65,,,,,,,,,,,,,,,,,,,,
22,1,66,,,,,,,,,,,,,,,,,,,1,
22,2,67,,,,,,,,,,,,,,,,,,,,
22,3,68,,,,,,,,,,,,,,,,,,,,
22,4,69,,,,3.5,,2,,,,,,,,,,,,,,
23,1,70,,,,,2,,,3,,2,,,,,,,,,,
23,2,71.25,,,,,,,,,,,,,,,,,,,1,
23,3,72.5,,,,,,,,,,,,,3,,,3,,,,
23,4,73.75,2,4,3,,3,,2,,2,2,,3.5,,3,2,,3,2.5,,
24,1,75,,,,,,,,,,,4,,,,,,,,,2
24,2,75.5,,,,,,,,,,,,,,,,,,,,
24,3,76,1,1,2,,1,2,1,1,,1,,,,,,1,,,,
24,4,76.5,,,,1,,,,,,,,,,,,,,1,1,
25,1,77,,,,,,,,,,,1,,,,,,,,,
25,2,77.75,,,,,,,,,,,,,,,,,,,,
25,3,78.5,1,1,2,,1,2,1,1,,1,,,,,,1,,,,
25,4,79.25,,,,1,,,,,,,,,,,,,,1,1,
26,1,80,,,,,,,,,,,,,,,,,,,,
26,2,80.75,,,,,,,,,,,,,,,,,,,,
26,3,81.5,,1,2,,1,2,1,1,,1,,,,,,1,,,,
26,4,82.25,,,,1,,,,,,,,,,,,,,1,1,
27,1,83,,,,,,,,,,,,,,,,,,,,
27,2,83.5,,,,,,,,,,,,,,,,,,,,
27,3,84,2,1,2,,1,2,,1,,1,,,,,,1,1,1,1,
27,4,84.5,,,,1,,,1,,,,,,,,,,,,,
28,1,85,,,,,,,,,,,,,,,,,,,,
28,2,85.75,,,,,,,,,,,,,,,,,,,,
28,3,86.5,,,,,,,,,,,,,,1,,,,,,
28,4,87.25,,,,,,,,,,,,,,,,,,,,
29,1,88,,,,,,,,,,,,,,,,,,,1,
29,2,88.75,,,,,,,,,,,,,,,,,,,,
29,3,89.5,,,,,,,,,,,,,,,,,,,,
29,4,90.25,,,,,,,,,,,,,,,,,,,,
30,1,91,2,1,2,2,2,3,2,1,1,1,,1,1,2,,2,2,1,1,1
30,2,91.75,,,,,,,,,,,3,,,,,,,,,
30,3,92.5,,,,,,,,,,,,,,,,,,,,
30,4,93.25,,,,,,,,,,,,,,,,,,,,
31,1,94,,,,,,,,,,,,,,,,,,,1,
31,2,94.75,,,,,,,,,,,,,,,,,,,,
31,3,95.5,,,2,,,,,,,,,,,,,1,2,,1,
31,4,96.25,,,,,,,,,,,,,,,,,,,,
32,1,97,,,,,,,,,,,,,,,,,,,,
32,2,97.75,,,,,,,,,,,,,,,,,,,,
32,3,98.5,,,,,,,,,,,,,,,,,,,,
32,4,99.25,,,,,,,,,,,,,,,,,,,,
33,1,100,,1,,,,2,1,,,,,,,,,,1,,,
33,2,100.75,,,,,,,,,,,,,,,,1,,,,
33,3,101.5,2,,1,1,,,,1,,1,,,,,,,1,,1,
33,4,102.25,,,,,,,,,,,,,,,,,,,,
34,1,103,,,,,,,,,,,,,,,,,,,,
34,2,103.75,,,,,,,,,,,,,,,,,,,,
34,3,104.5,,,,,,,,,,,,,,,,,,,,
34,4,105.25,,,,,,,,,,,,,,,,,,,,
35,1,106,,,,1,,,1,1,,,,,1,,1,,1,,1,
35,2,106.75,,,,,,2,,,,,,2,,,,1,,,,
35,3,107.5,2,1,,,,,,,,1,,,,,,,1,,,
35,4,108.25,,,,,,,,,,,,,,,,,,,,
36,1,109,,,,,,,,,,,,,,,,,,,,
36,2,109.75,,,,,,,,,,,3,,,,,,,,,
36,3,110.5,,,,,,,,,,,,,,,,,,,,
36,4,111.25,,,,,,,,,,,,,,,,,,,,
37,1,112,,,,1,,,1,1,,,,,,,,,1,,1,
37,2,112.5,,,,,,,,,,,,,1,,,,,,,
37,3,113,2,1,1,,,,,,,1,1,1.5,,,,1,1,,1,
37,4,113.5,,,,,,,,,,,,,,,,,,,,
38,1,114,,,,,,,,,,,,,,,,,,,,
38,2,114.75,,,,,,,,,,,,,,,,,,,,
38,3,115.5,,,,,,,,,,,,,,,,,,,,
38,4,116.25,,,,,,,,,,,,,,,,,,,,
39,1,117,,,,,,,,,,,,,,,,,,,,
39,2,117.75,,,,,,,,,,,,,,,,,,,,
39,3,118.5,,,1,,,,1,1,,,,,,,,1,,,1,
39,4,119.25,,,,,,,,,,,,,,,,,,,,
40,1,120,,,,,,,,,,,,,,,,,1,,,
40,2,120.75,,1,,1.5,,,,,,,,,,,,,,,,
40,3,121.5,,,,,,,,,,,,,,,,,,,,
40,4,122.25,3,,,,,,,,,,,,,,,,,,,
41,1,123,,,,,,,,,,,,,,,,,,,,
41,2,123.75,,,,,,,,,,,,2,,,,,,,,
41,3,124.5,,,,,,,,,,,,,,,,,,,,
41,4,125.25,,1,2,1,2,,3,1,2,,,,,,,,2,,,2
42,1,126,,,,,,2.5,,,,,,,2,2,1,1,,2,1,
42,2,126.75,,,,,,,,,,,3,,,,,,,,,
42,3,127.5,1,,,,,,,,,,,,,,,,,,,
42,4,128.25,,,,,,,,,,,,,,,,,,,,
43,1,129,,,,,,,2,,,,,,,,,,1,,,
43,2,129.75,,,,,,,,,,,,,,,,,,,,
43,3,130.5,,,,,,,,,,,,,,,,,,,,
43,4,131.25,,,,,,,,,,,,,,,,,,,,
44,1,132,,,,,,,,,,,,,,,,,,,,
44,2,132.75,,,,,,,,,,,,1.5,,,1,,,,,
44,3,133.5,,,,,,,,,,,,,,,,,,,1,
44,4,134.25,,,,,,,,,,2,,,,,,3,,,,
45,1,135,3,2,4,2,2,3,3,3,1,,,,1,,,,1,1.5,,
45,2,135.75,,,,,,,,,,,,,,2,,,,,,
45,3,136.5,,,,,,,,,,,,,,,,,,,,
45,4,137.25,,,,,,,,,,,,,,,,,,,,
46,1,138,,,,,,,,,,,1,,,,,,,,,
46,2,138.5,,,,,,,,,,,,,,,,,,,,
46,3,139,,,,,,,,,,,,,,,,,,,,
46,4,139.5,,,,,,,,,,,,,,,,,,,,
47,1,140,,,,,,,,,,,,,,,,,,,1,
47,2,140.75,,,,,,,,,,,,,,,,,,,,
47,3,141.5,,,,,,,,,,,,,,,,,,,,
47,4,142.25,,,,,,,,,,,,,,,,,,,,
48,1,143,,,,,,,,,,,,,,,,,,,,
48,2,143.75,,,,,,,,,,,,,,,,,,,,
48,3,144.5,,,,,,,,,,,,,,,,,,,,
48,4,145.25,,,,,,,1,,,,,,1,,,,,,1,
49,1,146,,,,,,,,1,,,,,,,,,,,,
49,2,146.5,,,,,,,,,,,,,,,,,,,,
49,3,147,,,,,,,,,,,,,,,,,,,,
49,4,147.5,,,,,,,,,,,,,,,,,,,,
50,1,148,,,,,,,,,,,,,,,,,,,,
50,2,148.75,,,,,,,,,,,,,,,,,,,,
50,3,149.5,,,,,,,,,,,,,,,,,,,,
50,4,150.25,,,,4,,,,,,,,,,,,,,,,
51,1,151,,,,,,,,,,,,3,,,2.5,,,,1,
51,2,151.75,,,,,,3,,,,,,,2,,,3,3,,,
51,3,152.5,,,,,,,,,,,,,,,,,,,,
51,4,153.25,,,,,,,,,,3,,,,,,,,,,
52,1,154,3,4,2.5,,4,,3,3,3,,,,,3,,,,2,,1
52,2,154.75,,,,,,,,,,,4,,,,,,,,,
52,3,155.5,,,,,,,,,,,,,,,,,,,,
52,4,156.25,,,,,,,,,,,,,,,,,,,,
53,1,157,,,,,,,,,,,,,,,,,,,,
53,2,157.75,,,,,,,,,,,,,,,,,,,,
53,3,158.5,,,,,,,,,,,,,,,,,,,,
53,4,159.25,,,,,,,,,,,,,,,,,,,,
54,1,160,,,,,,,,,,,,,,,,,,,1,
54,2,160.75,,,,,,,,,,,,,,,,,,,,
54,3,161.5,,,,,,,,,,,,,,,,,,,,
54,4,162.25,,,,,,,,,,,,,,,,,,,,
55,1,163,,,,,,,,,,,,,,,,,,,,
55,2,163.5,,,,,,,,,,,,,,,,,,,,
55,3,164,,,,,,,,,,,,,,,,,,,,
55,4,164.5,,,,,,,,,,,,,,,,,,,1,
56,1,165,,,,,,,,,,,,,,,,,,,,
56,2,165.75,,,,,,,,,,,,,,,,,,,,
56,3,166.5,,,,,,,,,,,,,,,,,,,,
56,4,167.25,,,,,,,,,,,,,,,,,,,,
57,1,168,,,,,,,,,,,,,,,,,,,,
57,2,168.75,,,,,,,,,,,,,,,,,,,,
57,3,169.5,,,,,,,,,,,,,,,,,,,,
57,4,170.25,,,,,,,,,,,,,,,,,,,,
58,1,171,,,,,,,,,,,,,,,,,,,,
58,2,172,,,,4,,,,,,,,,2,,3,,,,2,
58,3,173,,,,,,,,,,,,,,,,3,,,,
58,4,174,,,,,,3,,,,,,,,,,,,,,
59,1,175,3,4,4,,4,,3,4,1,3,4,2.5,,3,,,3,2,,2
59,2,175.5,,,,,,,,,,,,,,,,,,,,
59,3,176,,,,,,,,,,,,,,,,,,,,
59,4,176.5,,,,,,,,,,,,,,,,,,,,
60,1,177,,,,,,,,,,,,,,,,,,,1,
60,2,177.5,,,,,,,,,,,,,,,,,,,,
60,3,178,,,,,,,,,,,,,,,,,,,,
60,4,178.5,,,,,,,,,,,,,,,,,,,,
61,1,179,,1,,,,1,1,,,,,,,,,1,,,1,
61,2,179.5,,,,,,,,,,,,,,,,,,,,
61,3,180,,,,,,,,,,,,,,,,,,,,
61,4,180.5,,,,,,,,,,,,,,,,,,,,
62,1,181,2,1,,,,,1,,,,,,,,,1,1,,,
62,2,181.5,,,,,,,,1,,,,,,,,,,,,
62,3,182,,,,,,,,,,,,,,,,,,,,
62,4,182.5,,,,,,,,,,,,,,,,,,,,
63,1,183,,,,1,,,,,,,,,,,,,,,,
63,2,183.5,,,,,,,,,,,,,,,,,,,,
63,3,184,,,,,,,,,,,,,,,,,,,,
63,4,184.5,,,,,,,,,,,,,,,,,,,,
64,1,185,,,,,,,,,,,,,,,,,,,1,
64,2,185.5,,,,,,,,,,,,,,,,1,,,,
64,3,186,,,,,,,,,,,,,,,,,,,,
64,4,186.5,,,,,,,,,,,,,,,,,,,,
65,1,187,,,,,,,,4,,,,,,,,,,,,
65,2,187.5,,,,,,,,,,,,,,,,,,,,
65,3,188,,,,,,,,,,,,,,,,,,,,
65,4,188.5,,,,,,,,,,,,,,,,,,,,
66,1,189,,,,,,,,,,,,,,,,,,,,
66,2,189.5,,,,,,,,,,,,,,,,,,,,
66,3,190,,,,,,,,,,,,,,,,,,,,
66,4,190.5,,,,,,,,,,,,,,,,,,,,
67,1,191,,,,,,,,,,,,,,,,,,,,
67,2,191.5,,,,,,,,,,,,,,,,,,,,
67,3,192,,,,,,,,,,,,,,,,,,,,
67,4,192.5,,,,,,,,,,,,,,,,,,,,
68,1,193,3,2,3,3,3,3,3,1,1,,,1,,,,1,1,,1,1
68,2,193.5,,,,,,,,,,2,3,,,,,,,1,,
68,3,194,,,,,,,,,,,,,,,,,,,,
68,4,194.5,,,,,,,,,,,,,,2,,,,,,
69,1,195,,,,,,,,,,,,,,,,,,,1,
69,2,195.5,,,,,,,,,,,,,,,,,,,,
69,3,196,,,,,,,,,,,,,,,,,,,,
69,4,196.5,,,,,,,,,,,,,,,,,,,,
70,1,197,,,,,,,,,,,,,,,,,,,,
70,2,197.5,,,,,,,,,,,,,,,,,,,,
70,3,198,,,,,,,,,,,,,,,,,,,,
70,4,198.5,,,,,,,,,,,,,,,,,,,,
71,1,199,,,,,,,,,,,,,,,,,,,,
71,2,199.5,,,,,,,,,,,,,,,,,,,,
71,3,200,,,,,,,,,,,,,,,,,,,,
71,4,200.5,,,,,,,,,,,,,,,,,,,,
72,1,201,2,1,3,3,3,2,2,1,1,1,,,1,,,,2,,1.5,
72,2,201.5,,,,,,,,,,,,,,,,1,,1,,
72,3,202,,,,,,,,,,,,,,,,,,,,
72,4,202.5,,,,,,,,,,,,,,,,,,,,
73,1,203,,,,,,,,,,,,,,,,,,,,
73,2,203.75,,,,,,,,,,,,,,,,,,,,
73,3,204.5,,,,,,,,,,,,,,,,,,,,
73,4,205.25,,,,,,,,,,,,,,,,,,,,
74,1,206,,,,,,,,,,,,,,1,,,,,,
74,2,206.75,,,,,,,,,,,,,,,,,,,,
74,3,207.5,,,,,,,,,,,,,,,,,,,,
74,4,208.25,,,,,,,,,,,,,,,,,,,,
75,1,209,,,,,,,,,,,,,2,,3,,,,,
75,2,209.75,,,,,,,,,,,,2,,,,,3,,,
75,3,210.5,2,2,3,3,3,3,2,3,3,3,,,,,,,,,2,
75,4,211.25,,,,,,,,,,,,,,,,,,2.5,,
76,1,212,,,,,,,,,,,4,,,,,3,,,,2
76,2,212.5,,,,,,,,,,,,,,3,,,,,,
76,3,213,,,,,,,,,,,,,,,,,,,,
76,4,213.5,,,,,,,,,,,,,,,,,,,,
77,1,214,,,,,,,,,,,,,,,,,,,,
77,2,214.5,,,,,,,,,,,,,,,,,,,,
77,3,215,,,,,,,,,,,,,,,,,,,,
77,4,215.5,,,,,,,,,,,,,,,,,,,,
78,1,216,,,,,,,,,,,,,,,,,,,1,
78,2,216.5,,,,,,,,,,,,,,,,,,,,
78,3,217,,,,,,,,,,,,,,,,,,,,
78,4,217.5,,,,,,,,,,,,,,,,,,,,
79,1,218,,,,,,,,,,,,,,,,,,,,
79,2,218.5,,,,,,,,,,,,,,,,,,,,
79,3,219,,,,,,,,,,,,,,,,,,,,
79,4,219.5,,,,,,,,,,,,,,,,,,,,
80,1,220,,,,,,,,,,,,,,,,,,,,
80,2,220.5,,,,,,,,,,,,,,,,,,,,
80,3,221,,,,,,,,,,,,,,,,,,,,
80,4,221.5,,,,,,,,,,,,,,,,,,,,
81,1,222,,,,,,,,,,,,,,,,,,,,
81,2,222.5,,,,,,,,,,,,,,,,,,,,
81,3,223,,,,,,,,,,,,,,,,,,,,
81,4,223.5,,,,,,,,,,,,,,,,,,,,
82,1,224,,,,,,,,,,,,,,,,,,,,
82,2,224.5,,,,,,,,,,,,,,,,,,,,
82,3,225,,,,,,,,,,,,,,,,,,,,
82,4,225.5,,,,,,,,,,,,,,,,,,,,
83,1,226,,,,,,,,,,,,,,,,,,,,
83,2,226.5,,,,,,,,,,,,,,,,,,,,
83,3,227,,,,,,,,,,,,,,,,,,,,
83,4,227.5,,,,,,,,,,,,,,,,,,,,
84,1,228,,,,,,,,,,,,,,,,,,,,
84,2,228.5,,,,,,,,,,,,,,,,,,,,
84,3,229,,,,,,,,,,,,,,,,,,,,
84,4,229.5,,,,,,,,,,,,,,,,,,,,
85,1,230,,,,,,,,,,,,,,,,,,,,
85,2,230.5,,,,,,,,,,,,,,,,,,,,
85,3,231,,,,,,,,,,,,,,,,,,,,
85,4,231.5,,,,,,,,,,,,,,,,,,,,
86,1,232,,,,,,,,,,,,,,,,,,,,
86,2,232.5,,,,,,,,,,,,,,,,,,,,
86,3,233,,,,,,,,,,,,,,,,,,,,
86,4,233.5,,,,,,,,,,,,,,,,,,,,
87,1,234,,,,,,,,,,,,,,,,,,,,
87,2,234.5,,,,,,,,,,,,,,,,,,,,
87,3,235,,,,,,,,,,,,,,,,,,,,
87,4,235.5,,,,,,,,,,,,,,,,,,,,
88,1,236,3,3,4,3,2,3,3,2,2,3,3,0.5,,,,,1,1,1,1
88,2,236.5,,,,,,,,,,,,,,,,2.5,,,,
88,3,237,,,,,,,,,,,,,,2,,,,,1,
88,4,237.5,,,,,,,,,,,,,,,,,,,,
89,1,238,,,,,,,,,,,,,,,,,,,,
89,2,238.5,,,,,,,,,,,,,,,,,,,,
89,3,239,,,,,,,,,,,,,,,,,,,,
89,4,239.5,,,,,,,,,,,,,,,,,,,,
90,1,240,,,,,,,,,,,,,,,,,,,,
90,2,240.5,,,,,,,,,,,,,,,,,,,,
90,3,241,,,,,,,,,,,,,,,,,,,,
90,4,241.5,,,,,,,,,,,,,,,,,,,,
91,1,242,,,,,,,,,,,,,,,,,,,,
91,2,242.5,,,,,,,,,,,,,,,,,,,,
91,3,243,,,,,,,,,,,,,,,,,,,,
91,4,243.5,,,,,,,,,,,,,,,,,,,,
92,1,244,2,1,3,2,2,2.5,3,,,2,,,,,,,2,,2,
92,2,244.75,,,,,,,,,,,,,,,,2,,,,
92,3,245.5,,,,,,,,,,,,,,,,,,1,,
92,4,246.25,,,,,,,,,,,,,,,,,,,,
93,1,247,,,,,,,,,,,,,,1,,,,,,
93,2,247.5,,,,,,,,,,,,,,,,,,,,
93,3,248,,,,,,,,,,,,,,,,,,,,
93,4,248.5,,,,,,,,,,,,,,,,,,,,
94,1,249,,,,,,,,,,,,,,,,,,,,
94,2,249.5,,,,,,,,,,,,,,,,,,,,
94,3,250,,,,,,,,,,,,,,,,,,,,
94,4,250.5,,,,,,,,,,,,,,,,,,,,
95,1,251,,,,,,,,,,,,,,,,,,,,
95,2,251.75,,,,,,,,,,,,,,,,,,,,
95,3,252.5,,,,4,,,,,,,,,,,,,,,,
95,4,253.25,,,,,,,,,,,,,,,,,,,,
96,1,254,,,,,,,,,,,,3,,,4,,,,3,
96,2,255.25,,,,,,2,,,,4,,,3,,,4,,,,
96,3,256.5,,,,,,,,,,,,,,3,,,4,2,,
96,4,257.75,,,,,,,,,,,4,,,,,,,,,
101,1,259,3,4,4,,3,,4,3,2,,,,,,,,,,,2
101,2,259.5,,,,,,,,,,,,,,,,,,,,
101,3,260,,,,,,,,,,,,,,,,,,,,
101,4,260.5,,,,,,,,,,,,,,,,,,,,
102,1,261,,,,,,,,,,,,,,,,,,,,
102,2,261.5,,,,,,,,,,,,,,,,,,,,
102,3,262,,,,,,,,,,,,,,,,,,,,
102,4,262.5,,,,,,,,,,,,,,,,,,,,
103,1,263,,,,,,,,,,,,,,,,,,,1,
103,2,263.75,,,,,,2.5,,,,2,,,,,,2,,,,
103,3,264.5,2,2,2,3,2,,2,,,,,,,,,,,,,
103,4,265.25,,,,,,,,,,,,,,,,,,,,
104,1,266,,,,,,,,1,,,,,,,,,,,,
104,2,266.75,,,,,,,,,,,,,,,,,,,,
104,3,267.5,,,,,,,,,,,,,,1,,,1,,,
104,4,268.25,,,,,,,,,,,,,,,,,,,,
105,1,269,,,,,,,,,,,,,,,,,,,,
105,2,269.5,,,,,,,,,,,,,,,,,,,,
105,3,270,,,,,,,,,,,,,,,,,,,1,
105,4,270.5,,,,,,,,,,,,,,,,,,,,
106,1,271,,,,,,,,,,,,,,,,,,,,
106,2,271.75,,,,,,,,,,,,,,,,,,,,
106,3,272.5,,,,,,,,,,,,,,,,,,,,
106,4,273.25,,,,,,,,,,,,,,,,,,,,
107,1,274,,,,,,,1,,,,,,,,,,,,,
107,2,274.5,,,,,,,,,,,,,,,,1,,,,
107,3,275,,1,,,,,,,,,,,,,,,,,,
107,4,275.5,,,,,,,,,,,,,,,,,,,,
108,1,276,,,,,,,,,,,,,,,,,,,,
108,2,276.75,,,,,,,,,,,,,,,,,,,,
108,3,277.5,,,,,,,,,,,,,,,,,,,,
108,4,278.25,,,,,,,,,,,,,,,,,,,,
109,1,279,,,,1,,,,,,,,,,,,,,,,
109,2,279.5,,,,,,,,,,,,,,,,,,,,
109,3,280,,1,,,,,,,,,,,,,,,,,,
109,4,280.5,,,,,,,,,,,,,,,,,,,,
110,1,281,,,,,,,,,,,,,,,,,,,,
110,2,281.5,,,,,,,,,,,,,,,,,,,,
110,3,282,,,,,,,,,,,,,,,,,,,,
110,4,282.5,,,,,,,,,,,,,,,,,,,,
111,1,283,2,,,2,,,2,,,,,1,,,,,,,,
111,2,283.75,,,,,,,,1,,,,,,,,1,,,,
111,3,284.5,,,,,,1,,,,,,,,,,,,,,
111,4,285.25,,,,,,,,,,,,,,,,,1,,,
112,1,286,,,,,,,,,,,,,,,,,,,,
112,2,286.75,,,,,,,,,,,,,,,,,,,,
112,3,287.5,,,,,,,,,,,,,,,,,,,,
112,4,288.25,,,,,,,,,,,,,,,,,,,,
113,1,289,,,,,,,,,,,,,1.5,,,,,,,
113,2,289.5,,,,,,,,,,,,,,,3,3,,,2,2
113,3,290,,,,,,2,,,,2,,,,,,,2,1,,
113,4,290.5,,,,,,,,,,,,,,,,,,,,
114,1,291,2,3,3,3,2,,3,2.5,2,,2,,,,,,,,,
114,2,291.75,,,,,,,,,,,,,,,,,,,,
114,3,292.5,,,,,,,,,,,,,,2,,,,,,
114,4,293.25,,,,,,,,,,,,,,,,,,,,
115,1,294,,,,,,,,,,,,,,,,,,,,
115,2,294.75,,,,,,,,,,,,,,,,,,,,
115,3,295.5,,,,,,,,,,,,,,,,,,,,
115,4,296.25,,,,,,,,,,,,,,,,,,,,
116,1,297,,,,,,,,,,,,,,,,,,,,
116,2,297.5,,,,,,,,,,,,,,,,,,,,
116,3,298,,,,,,,,,,,,,,,,,,,,
116,4,298.5,,,,,,,,,,,,,,,,,,,,
117,1,299,,,,,,,,,,,,,,,,,,,,
117,2,299.75,,,,,,,,,,,,,,,,,,,,
117,3,300.5,2,,,1,,,1,,,,,,,,,,,,,
117,4,301.25,,,,,,,,,,,,,,,,,,,,
118,1,302,,1,,,1,1.5,,,,,,,,,,1,1,,,
118,2,302.5,,,,,,,,,,,,,,,,,,,,
118,3,303,,,,,,,,,,,,,,,,,,,,
118,4,303.5,,,,,,,,,,,,,,,,,,,,
119,1,304,,,,,,,,,,,,,,,,,,,,
119,2,304.75,,,,,,,,,,,,,,,,,,,,
119,3,305.5,,,,,,,,,,,,,,,,,,,,
119,4,306.25,,,,,,,,,,,,,,,,,,,1,
120,1,307,,,,,,,,,,,,,,,,,,,,
120,2,307.5,,,,,,,,,,,,,,,,,,,,
120,3,308,,,,,,,,,,,,,,,,,,,,
120,4,308.5,,,,,,,,,,,,,,,,,,,,
121,1,309,,,,,,,,,,,,,,,,,,,,
121,2,309.75,,,,,,,,,,,,,,,,,,,,
121,3,310.5,,,,,,,,,,,,,,,,,,,,
121,4,311.25,,,,,,,,,,,,,,,,,,,1,
122,1,312,,,,,,,,,,,,,,,,,,,,
122,2,312.5,,,,,,,,,,,,,,,,,,,,
122,3,313,,,,,,,,,,,,,,,,,,,,
122,4,313.5,,,,,,,,,,,,,,,,,,,,
123,1,314,,,,,,,1,,,,,,,,,,,,,
123,2,314.5,,,,,,,,,,,,,,,,,,,,
123,3,315,,,,,,,1,,,,,,,,,,,,,
123,4,315.5,,,,,,,,,,,,,,,,,,,,
124,1,316,,,,,,,,,,,,,,,,,,,,
124,2,316.75,,,,,,,,,,,,,,,,,,,,
124,3,317.5,,,,,,,,,,,,,,,,,,,,
124,4,318.25,,,,,,,,,,,,,,,,,,,,
125,1,319,,,,,,,,,,,,,,,,,,,,
125,2,319.75,,,,,,,1,,,,,,,,,,,,,
125,3,320.5,,,,,,,,,,,,,,,,,,,,
125,4,321.25,,,,,,,,,,,,,,,,,,,,
126,1,322,,,,,,,,,,,,,,,,,,,1,
126,2,322.5,,,,,,,,,,,,,,,,,,,,
126,3,323,,,,,,,2,,2,,,,,,,1,,,,
