measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,0,,,,,,,,,,,,,,,,,,,,,,
1,2,0.375,,,,,,,,,,,,,,,,,,,,,,
1,3,0.75,,,,,,,,,,,,,,,,,,,,,,
1,4,1.125,,,,,,,,,,,,,,,,,,,,,,
1,5,1.5,,,,,,,,,,,,,,,,,,,,,,
1,6,1.875,,,,,,,,,,,,,,,,,,,,,,
1,7,2.25,,,,,,,,,,,,,,,,,,,,,,
1,8,2.625,,1,,,,,,,,,,,,,,,,,,,,
2,1,3,,,,,,,,,,,,,,,,,,,,,,
2,2,3.25,,,,,,,,,,,,,,,,,,,,,,
2,3,3.5,,,,,,,,,,,,,,,,,,,,,,
2,4,3.75,,,,,,,,,,,,,,,,,,,,,,
2,5,4,,,,,,,,,,,,,,,,,,,,,,
2,6,4.25,,,,,,,,,,,,,,,,,,,,,,
2,7,4.5,,,,,,,,,,,,,,,,1,,,,,,
2,8,4.75,,,,,,,1,1,1,,,,,,,,,,,,,
3,1,5,,,,,,,,,,,,,,,,,,,,,1,
3,2,5.25,,,,,,,,,,,,,,,,,,,,,,
3,3,5.5,,,,,,,,,,,,,,,,,,,,,,
3,4,5.75,,,,,,,,,,,,,,,,,,,,,,
3,5,6,,,,,,,,,,,,,,,,,,,,,,
3,6,6.25,,,,,,,,,,,,,,,,,,,,,,
3,7,6.5,,,,,,,,,,,,,,,,,,,,,,
3,8,6.75,,,,,,,,,,,,,,,,,,,,,,
4,1,7,,,,,,,,,,,,,,,,,,,,,,
4,2,7.25,,,,,,,,,,,,,,,,,,,,,,
4,3,7.5,,,,,,,,,,,,,,,,,,,,,,
4,4,7.75,,,,,,,1,1,,,,,,,,,,,,,,
4,5,8,,,,,,,,,,,,,,,,,,,,,,
4,6,8.25,,,,,,,,,,,,,,,,,,,,,,
4,7,8.5,,,,,,,,,,,,,,,,,,,,,,
4,8,8.75,,,,,,,,,,,,,,,,,,,,,,
5,1,9,,,,,,,,,,,,,,,,,,,,,,
5,2,9.25,,,,,,,,,,,,,,,,,,,,,,
5,3,9.5,,,,,,,,,,,,,,,,,,,,,,
5,4,9.75,,1,,,,,,,,,,,,,,,,,,,,
5,5,10,,,,,,,,,,,,,,,,,,,,,,
5,6,10.25,,,,,,,,,,,,,,,,,,,,,,
5,7,10.5,,,,,,,,,,,,,,,,,,,,,,
5,8,10.75,,,,,,,,,,,,,,,,,,,,,,
